고객코드,고객명,성별,나이,직업,주소,취미,핸드폰번호,학력,키,몸무게,주사용SNS,주사용채널,주사용OTT
13332,김영식,여성,52,패션 디자이너,대전광역시 성북구 개포28길 (승현서김마을),여행,(010)74202679,박사,151.25,98.27,인스타그램,YouTube,웨이브
50103,서아름,남성,63,컴퓨터시스템 설계 및 분석가,부산광역시 강동구 개포073거리 (서연김동),여행,(010)66515973,대졸,169.99,58.07,페이스북,블로그,웨이브
25608,남수진,여성,61,강구조물 가공원 및 건립원,경상북도 고양시 일산서구 선릉거리,여행,(010)17268836,박사,184.81,88.45,인스타그램,블로그,티빙
89655,김아름,여성,35,지휘자/작곡가 및 연주가,경상남도 청주시 상당구 백제고분2가 (예은김이리),요리,(010)17873208,고졸,172.39,74.36,인스타그램,포털,왓챠
63725,김성수,여성,49,보험 심사원 및 사무원,부산광역시 용산구 서초대5가,독서,(010)83150301,대졸,159.77,75.47,트위터,블로그,티빙
38118,김영자,남성,60,구두 미화원,경기도 오산시 테헤란로,요리,(010)90213357,고졸,177.34,43.89,트위터,포털,웨이브
68782,박은지,여성,61,부동산 컨설턴트 및 중개인,세종특별자치시 은평구 잠실거리 (민석김허마을),등산,(010)57134695,박사,178.36,81.61,트위터,포털,티빙
24057,김동현,남성,33,상담 전문가 및 청소년 지도사,강원도 연천군 언주2가,독서,(010)24445532,박사,189.0,98.47,트위터,YouTube,티빙
27343,양성호,남성,44,정부행정 관리자,경상북도 속초시 반포대4로,등산,(010)32076931,박사,167.51,92.81,트위터,포털,넷플릭스
83099,김민지,남성,26,대학 시간강사,충청북도 가평군 영동대로 (지아이읍),영화 감상,(010)40479255,대졸,163.05,52.91,틱톡,포털,티빙
63143,오상훈,여성,27,기타 건설관련 기능 종사원,충청남도 태백시 언주186길 (영철안조면),독서,(010)95393229,대졸,161.95,72.97,인스타그램,포털,티빙
50124,최지영,여성,51,용접기 조작원,광주광역시 강남구 가락가,독서,(010)64654774,석사,184.26,87.07,인스타그램,YouTube,웨이브
98428,한영자,여성,40,자동차 정비원,광주광역시 양천구 삼성873길 (옥순김김읍),등산,(010)15470340,석사,164.82,48.6,페이스북,YouTube,티빙
3176,안보람,여성,48,기타 음식서비스 종사원,전라북도 보령시 역삼가 (지혜김리),독서,(010)78597987,석사,155.17,60.37,인스타그램,블로그,티빙
71048,한보람,남성,41,숙박/여행/오락 및 스포츠 관련 관리자,광주광역시 광진구 서초대거리 (서윤나이동),여행,(010)76141324,고졸,154.11,68.9,트위터,포털,티빙
45641,김주원,여성,53,의회의원/고위공무원 및 공공단체임원,경기도 수원시 팔달구 개포가 (현우이마을),등산,(010)65550853,박사,179.93,60.78,트위터,YouTube,왓챠
48951,김상호,남성,50,응용 소프트웨어 개발자,강원도 단양군 영동대631로,영화 감상,(010)09144662,박사,156.15,63.31,틱톡,블로그,넷플릭스
18335,김준혁,여성,63,실내장식 디자이너,세종특별자치시 종로구 학동가,영화 감상,(010)39819445,대졸,187.94,49.67,인스타그램,YouTube,넷플릭스
71920,김영희,남성,50,숙박시설 서비스원,부산광역시 서대문구 잠실로 (수진손강동),영화 감상,(010)86806776,박사,168.6,89.25,틱톡,포털,넷플릭스
23104,김상현,남성,42,유리제조 및 가공기 조작원,제주특별자치도 수원시 영통구 선릉594로,영화 감상,(010)90871067,대졸,175.02,57.06,인스타그램,YouTube,왓챠
77514,임승민,여성,31,조세행정 사무원,충청북도 양양군 가락길 (혜진신이읍),요리,(010)43000120,대졸,187.11,57.42,페이스북,블로그,왓챠
46143,박정웅,여성,49,촬영기사,부산광역시 강동구 압구정451가,요리,(010)11477542,대졸,177.21,45.39,페이스북,YouTube,왓챠
46391,이도현,남성,23,외선전공,충청남도 청주시 흥덕구 도산대로,등산,(010)11165748,박사,153.25,86.97,인스타그램,포털,왓챠
58887,김명자,여성,40,기타 문리/기술 및 예능 강사,경상북도 괴산군 반포대816가 (정식오면),요리,(010)56983503,석사,184.61,79.2,트위터,포털,넷플릭스
64994,양서영,남성,19,혼례 종사원,경기도 수원시 장안구 잠실로,등산,(010)59277599,석사,155.21,74.75,인스타그램,포털,왓챠
23757,박병철,여성,25,생산 및 품질 관리 사무원,서울특별시 서구 압구정가 (영희최마을),독서,(010)76001945,대졸,175.62,75.95,인스타그램,YouTube,티빙
85698,하종수,여성,65,홍보 도우미 및 판촉원,전라북도 하남시 도산대거리,등산,(010)66094244,박사,150.79,76.88,페이스북,YouTube,웨이브
62094,김서연,남성,36,전자공학 기술자 및 연구원,충청북도 화천군 도산대9가 (미경최허면),요리,(010)40671350,고졸,171.15,44.84,페이스북,YouTube,티빙
